title,company,location,how_old,link
Analista de Risco de Crédito,Sicredi,"Hybrid remote in Porto Alegre, RS",Postedhá 22 dias,https://br.indeed.com/rc/clk?jk=55ec339253cf7f74&fccid=0bedb393cb03c383&vjs=3
Desenvolvedor em Visão Computacional e Machine Learning,Daedalus,Home office,EmployerAtiva 2 dias atrás,https://br.indeed.com/company/Daedalus/jobs/Desenvolvedor-Vis%C3%A3o-Computacional-Machine-Learning-410b5e79b9202fa7?fccid=73899c17a6c086de&vjs=3
Desenvolvedor (a) Full Stack Python,Bravi,"Home office in São Paulo, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=efda8a3e12e66dbe&fccid=ea733cebd32530ea&vjs=3
Pessoa Desenvolvedora Python Senior,Datum TI,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=a7cb4dc91a1e7f53&fccid=e267f08170cab296&vjs=3
Cientista de Dados Pleno,VIACERTA Banking,"Home office in Santo Cristo, RS",PostedHoje,https://br.indeed.com/rc/clk?jk=a24262d5f6f83e95&fccid=da358fd9be576044&vjs=3
Desenvolvedor Backend (Python),Turing.com,Home office,EmployerAtiva 3 dias atrás,https://br.indeed.com/company/Turing.com/jobs/Desenvolvedor-Backend-295a70e5177cc015?fccid=a2e0cbec0b626661&vjs=3
Mid Backend Developer Python - (100% Remoto),invillia,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=e7fe34b49231a615&fccid=f185a6210cec2dc0&vjs=3
Desenvolvedor,Vem ser Ourofino Agrociência!,"Home office in Ribeirão Preto, SP",Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=0f4d4554b2ce1dc5&fccid=dd616958bd9ddc12&vjs=3
Especialista em Dados para Insights de Negócio,Lojas Renner,Home office,Postedhá 8 dias,https://br.indeed.com/rc/clk?jk=3bac680e5181c148&fccid=0421650f9c724b35&vjs=3
Full Stack Developer Python - Pleno - Remoto,Bnex,Home office,EmployerAtiva 3 dias atrás,https://br.indeed.com/company/Synapses-Holding-SA/jobs/Full-Stack-Developer-Python-3d2ee074b8b51051?fccid=99d7d15d9db800a3&vjs=3
Estágio em Desenvolvedor Back-End (Remoto),Bix,"Home office in Florianópolis, SC",Postedhá 8 dias,https://br.indeed.com/rc/clk?jk=38ea23c266802d6f&fccid=50baf2a5aab91854&vjs=3
Desenvolvedor Python Junior - Vila Olímpia,Jobbol,"São Paulo, SP",Postedhá 12 dias,https://br.indeed.com/rc/clk?jk=10af770316c8d48e&fccid=c64032edc49f7500&vjs=3
Desenvolvedor Python,Taking,"Home office in São Paulo, SP",Postedhá 22 dias,https://br.indeed.com/rc/clk?jk=4dc893b939f67ca6&fccid=54d424b6e8c4e1e7&vjs=3
Desenvolvedor Python Senior,Ewave do Brasil,,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=5474d08cf1d7f6c2&fccid=3e70db4eb9a109af&vjs=3
Pessoa Engenheira Especialista de Machine Learning,Lojas Renner,Home office,Postedhá 6 dias,https://br.indeed.com/rc/clk?jk=9917e740bbd6c790&fccid=0421650f9c724b35&vjs=3
Desenvolvedor Python – Porto Alegre – RS,BuscarVagas,,Postedhá 4 dias,https://br.indeed.com/rc/clk?jk=d1a42b168f4060dd&fccid=73abce787a9b9ca5&vjs=3
Analista desenvolver Junior,Minsait an Indra Company,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=84ec95b641fa1214&fccid=dd616958bd9ddc12&vjs=3
ANALISTA DE MIS (Segmento de Call Center),Meireles e Freitas Cobrança Digital,"Fortaleza, CE",PostedHoje,https://br.indeed.com/company/Meireles-e-Freitas-Cobran%C3%A7a-Digital/jobs/Analista-Mis-a3b59642697462d5?fccid=dc2af043efc86e7a&vjs=3
Analista Desenvolvedor Python,Recrutamento Externo,"São Paulo, SP",Postedhá 7 dias,https://br.indeed.com/rc/clk?jk=c46052c71afdb771&fccid=039df17d98633a49&vjs=3
Desenvolvedor(a) Fullstack Jr,Não encontrada,"Hybrid remote in Rio de Janeiro, RJ",Postedhá 19 dias,https://br.indeed.com/rc/clk?jk=65e45e0634178652&fccid=dd616958bd9ddc12&vjs=3
Cientista de dados/machine learning python pleno (remoto),Lean Saúde,"Home office in Vila Mariana, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=ef5eedd49123a732&fccid=49ade77fc07f3024&vjs=3
[Internacional] Desenvolvedor(a) Fullstack Python - REMOTO,Não encontrada,Home office,Postedhá 12 dias,https://br.indeed.com/rc/clk?jk=eba8386792b8e39c&fccid=dd616958bd9ddc12&vjs=3
PESSOA ENG. DE SOFTWARE PYTHON | MACHINE LEARNING JR/PL (REMOTO - RECIFE),Pitang,"Home office in Recife, PE",Postedhá 6 dias,https://br.indeed.com/rc/clk?jk=f71c1320fb76dd93&fccid=b661c43ed8fb0875&vjs=3
Desenvolvedor Backend - Sênior | Python,Mercafacil,Home office,Postedhá 23 dias,https://br.indeed.com/rc/clk?jk=21ba8333457ab6df&fccid=e1d8d0a26265504b&vjs=3
"Desenvolvedor Full Stack Júnior (Python, Django/Flask, e React.js)",Turing.com,Home office,Postedhá 30+ dias,https://br.indeed.com/company/Turing.com/jobs/Desenvolvedor-Full-Stack-J%C3%BAnior-16d1a88b0e83956a?fccid=a2e0cbec0b626661&vjs=3
Software Developer (Python),Azion Technologies,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=06f27d56b6b93ef7&fccid=1b8050db835ef06e&vjs=3
SecOps nível Pleno,UELLO,Home office,PostedHoje,https://br.indeed.com/rc/clk?jk=312de6394e104405&fccid=9a56ad0fbe33688b&vjs=3
Analista de Dados,EMPREGGA,"Consolação, SP",EmployerAtiva 6 dias atrás,https://br.indeed.com/company/EMPREGGA/jobs/Analista-Dados-223adb4eff41f7e4?fccid=f68d92ba685ba281&vjs=3
Desenvolvedor(a) Back-end Python,Visie Padrões Web,"Home office in São Paulo, SP",Postedhá 29 dias,https://br.indeed.com/rc/clk?jk=14dd8fa6bccc14f8&fccid=68edc23d19933c87&vjs=3
Product Manager | Onboarding,will bank,Home office,PostedHoje,https://br.indeed.com/rc/clk?jk=ab52ee6a900a9c99&fccid=6f87f0f19f9e71be&vjs=3
ENGENHEIRO DE SOFTWARE FULLSTACK JUNIOR / PYTHON + VUE,ROIT,Home office,Postedhá 21 dias,https://br.indeed.com/rc/clk?jk=c3055a8cfe2e7f79&fccid=881947d7f3319cbd&vjs=3
Pessoa Desenvolvedora Python – Pleno,South System,Home office,Postedhá 25 dias,https://br.indeed.com/rc/clk?jk=c334eb270627c7ee&fccid=655206b229101e5f&vjs=3
